"DateTime","Dota 2","Counter-Strike 2","PUBG: BATTLEGROUNDS","Hogwarts Legacy","New World","Baldur's Gate 3","Cyberpunk 2077","ELDEN RING","Goose Goose Duck","Lost Ark"
"1970-07-22 00:00:00",296193,27834,1277500,9155,30235,,12124,31548,9290,130010
"1970-07-23 00:00:00",578251,24446,1202176,11457,28606,,12387,30927,8715,110209
"1970-07-24 00:00:00",675958,26247,1272032,15478,28163,,13087,33397,8048,125197
"1970-07-25 00:00:00",657007,26156,1241282,19080,28512,,15746,42458,8132,173803
"1970-07-26 00:00:00",661837,25555,1250115,18045,28110,,17146,43754,7571,179091
"1970-07-27 00:00:00",738682,29444,1236782,13822,29284,,14185,33364,7379,172439
"1970-07-28 00:00:00",604502,29023,1250318,12958,31087,,13286,31054,9409,147981
"1970-07-29 00:00:00",596187,28466,1237700,13227,26529,,12568,30494,10087,118215
"1970-07-30 00:00:00",610285,27964,1252752,13012,27070,,12444,30003,8588,183977
"1970-07-31 00:00:00",729942,27635,1335064,15769,26406,,12536,32171,7242,197303
"1970-08-01 00:00:00",667850,27453,1339071,17399,25397,,14765,40762,7162,212778
"1970-08-02 00:00:00",740345,27805,1329078,12362,25414,,15797,41979,7283,205722
"1970-08-03 00:00:00",695927,32372,1255994,11283,26700,,12139,29959,6774,203029
"1970-08-04 00:00:00",609499,32414,1283262,10833,28554,,11790,29528,7315,194204
"1970-08-05 00:00:00",615469,30489,1280741,10430,25315,,11586,29044,8627,223872
"1970-08-06 00:00:00",666560,28046,1299484,10724,24170,,11229,28096,7368,202612
"1970-08-07 00:00:00",613380,28144,1307656,13014,23889,,11302,30763,5545,217579
"1970-08-08 00:00:00",416160,28468,1258122,15439,23387,,13576,38442,5274,232767
"1970-08-09 00:00:00",710808,27440,1254035,10926,23581,,14384,39830,5022,218970
"1970-08-10 00:00:00",706259,28343,1290744,10184,24631,,11337,30427,4956,211398
"1970-08-11 00:00:00",606829,29407,1271022,9609,25338,,10774,28429,6229,175455
"1970-08-12 00:00:00",603443,31966,1243027,9210,23860,,10579,27373,7728,203625
"1970-08-13 00:00:00",620818,26055,1226603,9881,23091,,10516,27026,5772,145424
"1970-08-14 00:00:00",438497,27938,1248850,12167,22280,,10418,28048,4575,195236
"1970-08-15 00:00:00",615303,28890,1243783,13750,22820,,12556,34805,4509,214237
"1970-08-16 00:00:00",675875,28687,1255623,9977,22663,,13609,36653,4390,204425
"1970-08-17 00:00:00",642813,32163,1181571,9237,23157,,10470,27576,4618,188514
"1970-08-18 00:00:00",574042,29464,1175902,8809,25507,,10251,25667,6449,152300
"1970-08-19 00:00:00",579543,27843,1073724,8429,22978,,10083,26361,7835,226988
"1970-08-20 00:00:00",583930,26959,1172262,8810,22113,,9788,23752,6344,195928
"1970-08-21 00:00:00",587431,29239,1114489,11003,21165,,10010,28885,4813,200582
"1970-08-22 00:00:00",606669,27137,1172157,12557,21155,,12269,38217,4771,206716
"1970-08-23 00:00:00",665749,28237,1184981,9441,21247,,13359,39401,4090,192136
"1970-08-24 00:00:00",698197,31604,1138388,9029,21948,,10279,29579,4475,191390
"1970-08-25 00:00:00",585132,29982,1139534,8607,23526,,10151,29637,6613,162495
"1970-08-26 00:00:00",583428,28795,1115512,8459,21477,,10140,29083,7342,153099
"1970-08-27 00:00:00",578006,27768,1090274,9058,20922,,10107,29196,5606,147027
"1970-08-28 00:00:00",584382,28493,1053776,10998,20719,,10458,31471,4311,167405
"1970-08-29 00:00:00",647284,27078,1187422,12714,20991,,12705,38307,6013,176212
"1970-08-30 00:00:00",650813,26886,1174141,9880,21528,,13746,39319,4926,171515
"1970-08-31 00:00:00",656038,30920,1097494,8671,21286,,10577,29193,4974,162212
"1970-09-01 00:00:00",609114,29952,1124698,8278,23598,,10265,28742,6506,135049
"1970-09-02 00:00:00",586636,28106,1138021,8489,22989,,9872,28001,6916,165358
"1970-09-03 00:00:00",588844,24738,1137029,8797,21353,,9748,27499,7944,179823
"1970-09-04 00:00:00",591707,27216,1174910,10932,20226,,9904,29657,5189,196018
"1970-09-05 00:00:00",626825,26661,1190514,12311,20131,,11488,34934,4391,207013
"1970-09-06 00:00:00",679193,27160,1164104,9162,20034,,12422,34954,4211,201648
"1970-09-07 00:00:00",663760,31433,1106200,8402,20553,,10053,28209,3988,198287
"1970-09-08 00:00:00",598644,30521,1106043,8224,22738,,10281,29025,5527,146699
"1970-09-09 00:00:00",608112,27756,1091043,8218,21714,,11806,25710,6111,181440
"1970-09-10 00:00:00",620428,25652,1090349,10251,20597,,13811,25692,5113,157168
"1970-09-11 00:00:00",650002,53379,1115111,13783,19979,,14286,28158,3916,195348
"1970-09-12 00:00:00",543224,26397,1099621,16855,18972,,17240,35662,3872,214493
"1970-09-13 00:00:00",666854,26495,1078927,12677,18405,,19018,36004,3652,214585
"1970-09-14 00:00:00",695945,29255,1032185,12238,18862,,14412,25244,3500,214549
"1970-09-15 00:00:00",623924,27964,1125932,11804,20736,,15355,25385,5078,186615
"1970-09-16 00:00:00",407062,28146,1005484,11577,19726,,15202,25467,7345,227894
"1970-09-17 00:00:00",631455,27001,1006844,11938,19525,,15375,25160,6385,211908
"1970-09-18 00:00:00",634043,26336,1087473,14526,18566,,16187,29688,4951,234844
"1970-09-19 00:00:00",657624,25718,1116354,17095,18813,,19842,35679,5433,258778
"1970-09-20 00:00:00",700665,26579,1039062,12593,17723,,21543,35817,4925,235069
"1970-09-21 00:00:00",679569,29611,960263,11319,18019,,16729,26412,4636,228687
"1970-09-22 00:00:00",631615,29199,958714,12997,18616,,15913,27174,6402,191313
"1970-09-23 00:00:00",619063,26626,976253,12753,18963,,15064,26755,6002,230379
"1970-09-24 00:00:00",734998,25655,1110760,11855,17900,,14726,25982,5490,236068
"1970-09-25 00:00:00",632635,30732,1115086,14068,16216,,15179,27963,4382,260886
"1970-09-26 00:00:00",667534,44688,1128795,15797,16235,,18733,34946,4434,279228
"1970-09-27 00:00:00",702239,51786,1092144,11180,16865,,19772,35579,3952,276176
"1970-09-28 00:00:00",702365,53381,1021462,10348,18223,,17652,26101,3723,271388
"1970-09-29 00:00:00",634753,42315,999769,9769,19746,,14398,26744,5403,203868
"1970-09-30 00:00:00",649263,36850,994004,9402,17396,,13047,26242,5919,228097
"1970-10-01 00:00:00",642001,35039,995711,10263,17089,,12700,27238,4691,243494
"1970-10-02 00:00:00",652265,34418,1079364,12627,16828,,12937,29925,4396,260104
"1970-10-03 00:00:00",697646,32069,1082120,14209,16519,,15558,35682,4143,276579
"1970-10-04 00:00:00",737526,31723,1125462,10423,18995,,16564,36345,3891,251788
"1970-10-05 00:00:00",699097,34871,998729,9949,19643,,11672,27038,3828,239998
"1970-10-06 00:00:00",648414,35724,989933,9833,21393,,10675,26537,5568,178629
"1970-10-07 00:00:00",650573,33689,983493,9629,20991,,11608,26979,6298,122044
"1970-10-08 00:00:00",654910,31426,943584,10335,17678,,11485,26701,4933,172597
"1970-10-09 00:00:00",647696,33106,964669,,17368,,11853,29223,4068,211064
"1970-10-10 00:00:00",689652,31084,983446,,16654,,14574,36322,4050,232299
"1970-10-11 00:00:00",690721,29297,1040164,,16529,,16804,36774,4115,226833
"1970-10-12 00:00:00",659470,33700,950165,,17341,,12171,27747,4150,229035
"1970-10-13 00:00:00",679703,33448,945733,,18869,,11247,32942,5217,200148
"1970-10-14 00:00:00",655689,31806,960816,,16942,,10505,32676,6099,248269
"1970-10-15 00:00:00",656902,30594,941269,,16286,,10529,33179,5387,264710
"1970-10-16 00:00:00",658341,30352,916596,,16199,,10675,37725,4229,275134
"1970-10-17 00:00:00",697091,29284,1055508,,16249,,13018,46193,4574,281950
"1970-10-18 00:00:00",681226,27103,1021057,,16535,,14268,47045,4369,277421
"1970-10-19 00:00:00",690882,31842,948575,,17498,,10039,37142,4333,262338
"1970-10-20 00:00:00",655916,32327,940820,,19115,,9489,36105,5665,221489
"1970-10-21 00:00:00",663396,31795,852238,,16996,,9324,36199,6713,285894
"1970-10-22 00:00:00",676331,30957,836300,,16539,,9524,35084,6187,298719
"1970-10-23 00:00:00",676479,32008,955819,,16263,,9813,38188,5048,304125
"1970-10-24 00:00:00",843024,31419,1023746,,16209,,12225,45094,4854,322787
"1970-10-25 00:00:00",685495,28737,927559,,17176,,13614,46097,5017,305982
"1970-10-26 00:00:00",711106,33321,876955,,17847,,9952,38366,4968,290010
"1970-10-27 00:00:00",664408,33951,846193,,19575,,9448,38488,6225,253015
"1970-10-28 00:00:00",661168,32652,835973,,17748,,9238,38060,6277,317013
"1970-10-29 00:00:00",648206,32167,864675,,17583,,8510,42476,6578,308345
"1970-10-30 00:00:00",668633,31193,938802,,17929,,8417,53175,5152,305759
